Xaxis,Yaxis,Left
232.5,478.0,0
13.5,7.0,1
79.08599090576172,32.55732345581055,1
128.5,56.5,1
188.5,90.0,1
236.90660095214844,118.31318664550781,1
281.5,142.5,1
325.6806335449219,166.75807189941406,1
369.3335876464844,189.92457580566406,1
412.3666687011719,213.63333129882812,1
455.5,236.0,1
496.03192138671875,259.8546142578125,0
538.419677734375,281.56475830078125,0
578.4208374023438,303.14642333984375,0
620.5,324.5,0
637.5,346.0,0
35.0,383.0,0
90.01351165771484,356.5,0
146.61155700683594,328.51593017578125,0
192.1548614501953,304.63275146484375,0
237.6913299560547,280.8034362792969,0
282.257568359375,257.5,0
325.7010192871094,233.46482849121094,1
368.5,210.5,1
410.79730224609375,188.5,1
454.5,165.0,1
496.3243103027344,142.0,1
538.5,118.0,1
580.4024658203125,94.5,1
621.1486206054688,70.0,1
637.5,50.0,1
